input_doi,openalex_id,openalex_doi,doi_exact_match,title,publication_year,oa_is_oa,oa_status,oa_license,has_pdf,has_grobid_xml,has_fulltext,pdf_url,grobid_xml_url,status
10.1016/j.aqrep.2022.101317,https://openalex.org/W4293860124,10.1016/j.aqrep.2022.101317,TRUE,Utilization of feed resources in the production of rainbow trout (Oncorhynchus mykiss) in Norway in 2020,2022,TRUE,gold,cc-by-nc-nd,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4293860124.pdf,https://content.openalex.org/works/W4293860124.grobid-xml,matched
10.1016/j.aqrep.2022.101252,https://openalex.org/W4285026417,10.1016/j.aqrep.2022.101252,TRUE,Chemical composition of whole body and fillet of slaughter sized Atlantic salmon (Salmo salar) and rainbow trout (Oncorhynchus mykiss) farmed in Norway in 2020,2022,TRUE,gold,cc-by-nc-nd,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4285026417.pdf,https://content.openalex.org/works/W4285026417.grobid-xml,matched
10.17017/j.fish.133,https://openalex.org/W3082748444,10.17017/j.fish.133,TRUE,"Feed intake, nutrient digestibility and nutrient retention in Atlantic salmon (Salmo salar L.) fed diets with different physical pellet quality",2020,TRUE,diamond,cc-by-nc-sa,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3082748444.pdf,https://content.openalex.org/works/W3082748444.grobid-xml,matched
10.1016/j.ocecoaman.2012.09.001,https://openalex.org/W2060922164,10.1016/j.ocecoaman.2012.09.001,TRUE,Framing the environment – Disputes and developments in the management of Norwegian salmon fjords,2012,TRUE,green,other-oa,FALSE,FALSE,FALSE,NA,NA,matched
10.1007/978-1-4615-5303-8_17,https://openalex.org/W1088095220,10.1007/978-1-4615-5303-8_17,TRUE,"Fish vaccine: development, production and use of bacterial vaccines, with special reference to salmon",1994,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.3923/pjn.2012.104.109,https://openalex.org/W1967439182,10.3923/pjn.2012.104.109,TRUE,Effects of Pressed and Extruded Foods on Growth Performance and Body Composition of Rainbow Trout (Oncorhynchus mykiss),2012,TRUE,hybrid,cc-by,FALSE,FALSE,FALSE,NA,NA,matched
10.3390/antiox13111280,https://openalex.org/W4403683602,10.3390/antiox13111280,TRUE,Evaluating Inclusion of Commercial Pistachio By-Product as a Functional Ingredient in Rainbow Trout Fishmeal and Plant Meal-Based Diets,2024,TRUE,gold,cc-by,FALSE,FALSE,TRUE,NA,NA,matched
10.3856/vol40-issue3-fulltext-4,https://openalex.org/W2002825273,10.3856/vol40-issue3-fulltext-4,TRUE,Parameters to evaluate the immunostimulant effect of Zymosan A in head kidney leucocytes (HKL) of salmonids,2012,TRUE,gold,cc-by-nc-nd,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2002825273.pdf,https://content.openalex.org/works/W2002825273.grobid-xml,matched
10.21203/rs.3.rs-25949/v1,https://openalex.org/W4248438144,10.21203/rs.3.rs-25949/v1,TRUE,"Evaluation of the environmental impact of two types of food in intensive farming of rainbow trout fry (Onchoryncus mykiss. Walbaum, 1792).",2020,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4248438144.pdf,https://content.openalex.org/works/W4248438144.grobid-xml,matched
10.1093/ve/veab056,https://openalex.org/W3169063666,10.1093/ve/veab056,TRUE,Increased virulence of Italian infectious hematopoietic necrosis virus (IHNV) associated with the emergence of new strains,2021,TRUE,gold,cc-by-nc,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3169063666.pdf,https://content.openalex.org/works/W3169063666.grobid-xml,matched
10.1111/ahe.12593,https://openalex.org/W3044489969,10.1111/ahe.12593,TRUE,"Anatomical, histological and immunohistochemical study of the tongue in the rainbow trout (Oncorhynchus mykiss)",2020,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1111/ahe.12563,https://openalex.org/W3022756607,10.1111/ahe.12563,TRUE,Morphology of the Atlantic salmon (Salmo salar)tongue,2020,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1016/j.marpolbul.2022.114003,https://openalex.org/W4293156170,10.1016/j.marpolbul.2022.114003,TRUE,Inhibition of microbial pathogens in farmed fish,2022,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.2478/aoas-2024-0087,https://openalex.org/W4402329903,10.2478/aoas-2024-0087,TRUE,"Control of Yersiniosis in Rainbow Trout, Oncorhynchus Mykiss : Innovative Non-Antibiotic Feed-Based Strategies – A Review",2024,TRUE,diamond,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4402329903.pdf,https://content.openalex.org/works/W4402329903.grobid-xml,matched
10.3390/v7010252,https://openalex.org/W1979480704,10.3390/v7010252,TRUE,A Polyprotein-Expressing Salmonid Alphavirus Replicon Induces Modest Protection in Atlantic Salmon (Salmo Salar) Against Infectious Pancreatic Necrosis,2015,TRUE,gold,cc-by,TRUE,FALSE,FALSE,https://content.openalex.org/works/W1979480704.pdf,NA,matched
10.1111/jwas.12906,https://openalex.org/W4282827261,10.1111/jwas.12906,TRUE,"The influence of probiotic (isolated based on phytase activity) on growth performance, body composition, and digestibility of rainbow trout,Oncorhynchus mykiss",2022,TRUE,gold,cc-by,FALSE,FALSE,FALSE,NA,NA,matched
10.1007/978-94-009-1507-7_2,https://openalex.org/W147585260,10.1007/978-94-009-1507-7_2,TRUE,European Policy and Regulatory Action for Organotin-Based Antifouling Paints,1996,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1371/journal.pone.0180972,https://openalex.org/W2736905495,10.1371/journal.pone.0180972,TRUE,Integrative functional analyses using rainbow trout selected for tolerance to plant diets reveal nutrigenomic signatures for soy utilization without the concurrence of enteritis,2017,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2736905495.pdf,https://content.openalex.org/works/W2736905495.grobid-xml,matched
10.1080/10495398.2017.1401546,https://openalex.org/W2781841428,10.1080/10495398.2017.1401546,TRUE,Expression of Antisense Long Noncoding RNAs as Potential Regulators in Rainbow Trout with Different Tolerance to Plant-Based Diets,2018,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1016/j.fsi.2013.09.039,https://openalex.org/W2043642961,10.1016/j.fsi.2013.09.039,TRUE,Dietary synbiotic application modulates Atlantic salmon (Salmo salar) intestinal microbial communities and intestinal immunity,2013,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1007/978-981-15-0169-2_10,https://openalex.org/W3003070709,10.1007/978-981-15-0169-2_10,TRUE,Microalgae as a Vaccine Delivery System to Aquatic Organisms,2020,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1016/j.marpolbul.2022.113794,https://openalex.org/W4281890193,10.1016/j.marpolbul.2022.113794,TRUE,Distinct polymer-dependent sorption of persistent pollutants associated with Atlantic salmon farming to microplastics,2022,TRUE,hybrid,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4281890193.pdf,https://content.openalex.org/works/W4281890193.grobid-xml,matched
10.3389/fenvs.2020.560206,https://openalex.org/W3108198147,10.3389/fenvs.2020.560206,TRUE,Fluorescent Microplastic Uptake by Immune Cells of Atlantic Salmon (Salmo salar L.),2020,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3108198147.pdf,https://content.openalex.org/works/W3108198147.grobid-xml,matched
10.1016/0144-8609(89)90017-4,https://openalex.org/W2027771913,10.1016/0144-8609(89)90017-4,TRUE,Influence of chronic subsurface retention on swimming activity of Atlantic salmon (Salmo salar) in cold temperature conditions,1989,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1016/j.fsi.2022.07.028,https://openalex.org/W4285681422,10.1016/j.fsi.2022.07.028,TRUE,Seasonal variations in the skin epidermal structure and mucosal immune parameters of rainbow trout skin (Oncorhynchus mykiss) at different stages of farming,2022,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1086/691981,https://openalex.org/W2606243453,10.1086/691981,TRUE,The Cost of Lice: Quantifying the Impacts of Parasitic Sea Lice on Farmed Salmon,2017,TRUE,green,other-oa,FALSE,FALSE,FALSE,NA,NA,matched
10.3389/fimmu.2018.01203,https://openalex.org/W2805862601,10.3389/fimmu.2018.01203,TRUE,Dysregulation of B Cell Activity During Proliferative Kidney Disease in Rainbow Trout,2018,TRUE,gold,cc-by,FALSE,FALSE,TRUE,NA,NA,matched
10.1002/aah.10188,https://openalex.org/W4387033265,10.1002/aah.10188,TRUE,Detection and virulence of Lactococcus garvieae and L. petauri from four lakes in southern California,2023,TRUE,hybrid,cc-by-nc,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4387033265.pdf,https://content.openalex.org/works/W4387033265.grobid-xml,matched
10.1016/j.oceaneng.2024.117296,https://openalex.org/W4392808324,10.1016/j.oceaneng.2024.117296,TRUE,Optimizing volume estimation in aquaculture sea cages: A comparative study of calculation methods and sensor placement,2024,TRUE,hybrid,cc-by,FALSE,FALSE,FALSE,NA,NA,matched
10.1108/imp-09-2015-0052,https://openalex.org/W2479738061,10.1108/imp-09-2015-0052,TRUE,Market policy and destructive network effects,2016,TRUE,green,NA,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2479738061.pdf,https://content.openalex.org/works/W2479738061.grobid-xml,matched
10.1016/j.aquatox.2007.07.013,https://openalex.org/W2020251842,10.1016/j.aquatox.2007.07.013,TRUE,Gill EROD in monitoring of CYP1A inducers in fish—A study in rainbow trout (Oncorhynchus mykiss) caged in Stockholm and Uppsala waters,2007,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1139/f2011-057,https://openalex.org/W1982471451,10.1139/f2011-057,TRUE,"Do exotic salmonids feed on native fauna after escaping from aquaculture cages in Tasmania, Australia?",2011,TRUE,green,cc-by,FALSE,FALSE,FALSE,NA,NA,matched
10.1080/10454438.2019.1670769,https://openalex.org/W2977081800,10.1080/10454438.2019.1670769,TRUE,Review of applying material flow analysis-based studies for a sustainable Norwegian Salmon aquaculture industry,2019,TRUE,hybrid,cc-by-nc-nd,FALSE,FALSE,FALSE,NA,NA,matched
10.3390/foods9081095,https://openalex.org/W3048531482,10.3390/foods9081095,TRUE,Food-Loss Control at the Macronutrient Level: Protein Inventory for the Norwegian Farmed Salmon Production System,2020,TRUE,gold,cc-by,TRUE,FALSE,FALSE,https://content.openalex.org/works/W3048531482.pdf,NA,matched
10.3390/systems8010004,https://openalex.org/W3000940498,10.3390/systems8010004,TRUE,Systems Engineering Approach to Food Loss Reduction in Norwegian Farmed Salmon Post-Harvest Processing,2020,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3000940498.pdf,https://content.openalex.org/works/W3000940498.grobid-xml,matched
10.3390/ani11123547,https://openalex.org/W4200510153,10.3390/ani11123547,TRUE,"Evaluation of an Innovative and Sustainable Pre-Commercial Compound as Replacement of Fish Meal in Diets for Rainbow Trout during Pre-Fattening Phase: Effects on Growth Performances, Haematological Parameters and Fillet Quality Traits",2021,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4200510153.pdf,https://content.openalex.org/works/W4200510153.grobid-xml,matched
10.3389/fphys.2018.00596,https://openalex.org/W2802190034,10.3389/fphys.2018.00596,TRUE,Effects of Different Levels of Pomegranate Seed Oil on Some Blood Parameters and Disease Resistance Against Yersinia ruckeri in Rainbow Trout,2018,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2802190034.pdf,https://content.openalex.org/works/W2802190034.grobid-xml,matched
10.4194/2618-6381-v18_2_02,https://openalex.org/W2893698449,10.4194/2618-6381-v18_2_02,TRUE,,2018,TRUE,diamond,NA,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2893698449.pdf,https://content.openalex.org/works/W2893698449.grobid-xml,matched
10.3390/ijms241914556,https://openalex.org/W4387055754,10.3390/ijms241914556,TRUE,Revealing the Salmo salar NLRP3 Inflammasome: Insights from Structural Modeling and Transcriptome Analysis,2023,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4387055754.pdf,https://content.openalex.org/works/W4387055754.grobid-xml,matched
10.1111/j.1439-0426.1994.tb00163.x,https://openalex.org/W2159906058,10.1111/j.1439-0426.1994.tb00163.x,TRUE,The release of nutrients and organic matter from aquaculture systems in Nordic countries,1994,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1007/978-1-4615-4731-0_4,https://openalex.org/W4596118,10.1007/978-1-4615-4731-0_4,TRUE,The High Energy Diet for Salmon,1999,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1111/j.1745-4522.1996.tb00064.x,https://openalex.org/W2109667282,10.1111/j.1745-4522.1996.tb00064.x,TRUE,SALMON LIPID STORAGE SITES AND THEIR ROLE IN CONTAMINATION WITH WATER‐SOLUBLE PETROLEUM MATERIALS,1996,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1021/bk-2001-0788.ch015,https://openalex.org/W2484692943,10.1021/bk-2001-0788.ch015,TRUE,Farmed Atlantic Salmon as Dietary Sources of Long-Chain Omega-3 Fatty Acids: Effect of High-Energy (High-Fat) Feeds on This Functional Food,2001,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1016/j.fsi.2004.03.009,https://openalex.org/W2028516753,10.1016/j.fsi.2004.03.009,TRUE,"Mx expression in Atlantic salmon (Salmo salar L.) parr in response to Listonella anguillarum bacterin, lipopolysaccharide and chromosomal DNA",2004,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1007/978-3-031-31007-2_43,https://openalex.org/W4367592069,10.1007/978-3-031-31007-2_43,TRUE,"Aquatic Quantification of Toxic Heavy Metals Due to Physical-Chemical Factors in Meat Production of Oncorhynchus mykiss (Rainbow Trout) in Controlled Open Systems Case: Lagunillas-Lampa, Puno",2023,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1111/tbed.13018,https://openalex.org/W2889965849,10.1111/tbed.13018,TRUE,Detection of piscine orthoreoviruses (PRV‐1 and PRV‐3) in Atlantic salmon and rainbow trout farmed in Germany,2018,TRUE,bronze,NA,TRUE,FALSE,FALSE,https://content.openalex.org/works/W2889965849.pdf,NA,matched
10.1016/j.aquaculture.2023.739469,https://openalex.org/W4324334852,10.1016/j.aquaculture.2023.739469,TRUE,How susceptible are rainbow trout and brown trout to infection with tilapia lake virus at increased water temperature – Is there any potential for climate change driven host jump?,2023,TRUE,green,cc-by-nc-nd,FALSE,FALSE,FALSE,NA,NA,matched
10.1016/j.fsi.2019.04.066,https://openalex.org/W2940558874,10.1016/j.fsi.2019.04.066,TRUE,"Progress, challenges and opportunities in fish vaccine development",2019,TRUE,green,cc-by-nc-nd,FALSE,FALSE,FALSE,NA,NA,matched
10.1002/9781119506287.ch9,https://openalex.org/W4240539310,10.1002/9781119506287.ch9,TRUE,Fish Vaccines,2021,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1023/a:1009255612529,https://openalex.org/W1216538586,10.1023/a:1009255612529,TRUE,Size heterogeneity can reduce aggression and promote growth in Atlantic salmon parr,2000,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1139/f07-018,https://openalex.org/W2143116257,10.1139/f07-018,TRUE,"Multiple determinants of welfare in farmed fish: stocking density, disturbance, and aggression in Atlantic salmon (Salmo salar)",2007,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1111/j.1365-2761.2012.01422.x,https://openalex.org/W2053166257,10.1111/j.1365-2761.2012.01422.x,TRUE,"Preliminary success using hydrogen peroxide to treat A tlantic salmon, S almo salar L. , affected with experimentally induced amoebic gill disease ( AGD )",2012,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1111/j.1365-2761.2004.00526.x,https://openalex.org/W2114288504,10.1111/j.1365-2761.2004.00526.x,TRUE,"Gross pathology and its relationship with histopathology of amoebic gill disease (AGD) in farmed Atlantic salmon, Salmo salar L.",2004,TRUE,bronze,NA,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2114288504.pdf,https://content.openalex.org/works/W2114288504.grobid-xml,matched
10.1016/j.aquaculture.2023.739535,https://openalex.org/W4362519891,10.1016/j.aquaculture.2023.739535,TRUE,Reciprocal hybrids of Atlantic salmon (Salmo salar) x brown trout (S. trutta) confirm a heterotic response to experimentally induced amoebic gill disease (AGD),2023,TRUE,hybrid,cc-by-nc-nd,FALSE,FALSE,FALSE,NA,NA,matched
10.1046/j.1365-2761.2003.00496.x,https://openalex.org/W2167377497,10.1046/j.1365-2761.2003.00496.x,TRUE,"Amoebic gill disease: sequential pathology in cultured Atlantic salmon, Salmo salar L.",2003,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1111/j.1365-2761.2008.00940.x,https://openalex.org/W2141117366,10.1111/j.1365-2761.2008.00940.x,TRUE,"An opportunistic detection of amoebic gill disease in blue warehou, Seriolella brama Günther, collected from an Atlantic salmon, Salmo salar L., production cage in south eastern Tasmania",2008,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.3354/aei00372,https://openalex.org/W3043507701,10.3354/aei00372,TRUE,Parameterising resuspension in aquaculture waste deposition modelling,2020,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3043507701.pdf,https://content.openalex.org/works/W3043507701.grobid-xml,matched
10.3354/aei00133,https://openalex.org/W1997555072,10.3354/aei00133,TRUE,Connected networks of sea lice populations: dynamics and implications for control,2015,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W1997555072.pdf,https://content.openalex.org/works/W1997555072.grobid-xml,matched
10.1038/s41598-022-19277-3,https://openalex.org/W4294053330,10.1038/s41598-022-19277-3,TRUE,The shrunk genetic diversity of coral populations in North-Central Patagonia calls for management and conservation plans for marine resources,2022,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4294053330.pdf,https://content.openalex.org/works/W4294053330.grobid-xml,matched
10.1007/s00705-015-2684-8,https://openalex.org/W2173899428,10.1007/s00705-015-2684-8,TRUE,Phylogenetic relationships of Iranian infectious hematopoietic necrosis virus of rainbow trout (Oncorhynchus mykiss) based on the glycoprotein gene,2015,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1080/10942912.2016.1163577,https://openalex.org/W2332849697,10.1080/10942912.2016.1163577,TRUE,Antibiotics and malachite green residues in farmed rainbow trout (Oncorhynchus mykiss) from the Iranian markets: A risk assessment,2016,TRUE,green,other-oa,FALSE,FALSE,FALSE,NA,NA,matched
10.1111/are.13019,https://openalex.org/W2320605648,10.1111/are.13019,TRUE,"Aqualase ® , a yeast-based in-feed probiotic, modulates intestinal microbiota, immunity and growth of rainbow trout Oncorhynchus mykiss",2016,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1016/j.fsi.2016.05.040,https://openalex.org/W2402643640,10.1016/j.fsi.2016.05.040,TRUE,"Hemato – Immunological and biochemical parameters, skin antibacterial activity, and survival in rainbow trout (Oncorhynchus mykiss) following the diet supplemented with Mentha piperita against Yersinia ruckeri",2016,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1046/j.1365-2095.1998.00077.x,https://openalex.org/W1868334826,10.1046/j.1365-2095.1998.00077.x,TRUE,"Evaluation of fish-meal free diets for rainbow trout,Oncorhynchus mykiss",1998,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.3354/meps08161,https://openalex.org/W2021734413,10.3354/meps08161,TRUE,Scale microchemistry as a tool to investigate the origin of wild and farmed Salmo salar,2009,TRUE,bronze,NA,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2021734413.pdf,https://content.openalex.org/works/W2021734413.grobid-xml,matched
10.15353/cfs-rcea.v11i1.628,https://openalex.org/W4393302052,10.15353/cfs-rcea.v11i1.628,TRUE,Protein politics,2024,TRUE,diamond,cc-by-sa,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4393302052.pdf,https://content.openalex.org/works/W4393302052.grobid-xml,matched
10.21061/ijra.v1i1.1359,https://openalex.org/W1516043718,10.21061/ijra.v1i1.1359,TRUE,Economic Analysis of an Aquaponic System for the Integrated Production of Rainbow Trout and Plants,2000,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1111/j.1365-2761.2011.01338.x,https://openalex.org/W1585247980,10.1111/j.1365-2761.2011.01338.x,TRUE,"Oral DNA vaccination of rainbow trout, Oncorhynchus mykiss (Walbaum), against infectious haematopoietic necrosis virus using PLGA [Poly(D,L‐Lactic‐Co‐Glycolic Acid)] nanoparticles",2012,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1007/s00027-004-0715-8,https://openalex.org/W2041162923,10.1007/s00027-004-0715-8,TRUE,"Risk, regulation and innovation: The case of aquaculture and transgenic fish",2004,TRUE,bronze,NA,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2041162923.pdf,https://content.openalex.org/works/W2041162923.grobid-xml,matched
10.1115/omae2022-81106,https://openalex.org/W4312732643,10.1115/omae2022-81106,TRUE,System Simulation-Based Feasibility and Performance Study of Alternative Fuel Concepts for Aquaculture Wellboats,2022,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
